OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,ROUTE_DIR,ROUTE_PREFIX,ROUTE_NUMBER,ROUTE_SUFFIX,RAMP_NUMBER,RAMP_SUFFIX,ROAD_TYPE,TOWN_NUMBER,TOWN_NAME,PRI_SEC_STATUS,YEAR,GlobalID,Shape__Length
43017,15-S,52.11,56.54,R,CT,15,,,,M,100,NORTH HAVEN,PRI,2022,ce50219e-84e5-4a55-a852-02442a8069b3,23376.29542
43018,154-N,7.1,9.43,L,CT,154,,,,M,105,OLD SAYBROOK,PRI,2022,fac1e696-ee08-40f7-a872-ec3eb074d35f,12310.30611
43019,154-S,11.78,11.94,R,CT,154,,,,M,49,ESSEX,PRI,2022,086a01b8-8e3c-4cbe-bb6b-f6f309e555ac,706.9354523
43020,155-E,0,2.22,L,CT,155,,,,M,82,MIDDLETOWN,PRI,2022,429c35dd-e6fb-45a5-86b5-6a92eadbcf24,11757.2
43021,165L-W,0,0.05,L,SP,165,L,,,M,97,NORFOLK,PRI,2022,ebc85281-9a32-4dc6-b136-9a54b17cc1b8,276.7169208
43022,17-N-2,0,0.11,L,CT,17,,2,,ER,53,GLASTONBURY,PRI,2022,e9a67d0a-0d47-4f15-b749-92e1760d03e2,541.0498002
43023,17-N-6A,0,0.01,L,CT,17,,6,A,ER,53,GLASTONBURY,PRI,2022,17bd8540-af3d-4875-80f6-c404bd89b4b5,103.4747772
43024,172L-W,0,0.18,L,SP,172,L,,,M,69,KILLINGWORTH,PRI,2022,484df489-dee5-4733-8ec3-95cebfbf4471,960.2664354
43025,172M-N,0,0.48,L,SF,172,M,,,M,90,NEW FAIRFIELD,PRI,2022,aba8b864-94a6-4726-89db-cdd417b013ee,2519.913648
43026,176M-E,0,0.52,L,SF,176,M,,,M,134,STAFFORD,PRI,2022,6060cb90-5dcc-405a-aeb5-8ba0352c466c,2730.211474
43027,179-N,1.96,10.72,L,CT,179,,,,M,23,CANTON,PRI,2022,503c4801-38b7-4103-812e-61a9f9aec036,46153.06085
43028,183-N,18.5,19.06,L,CT,183,,,,M,97,NORFOLK,PRI,2022,f347719f-6bf8-47de-923f-cd546199b218,2969.445526
43029,184-W-9,0,0.19,L,CT,184,,9,,XR,58,GROTON,PRI,2022,02f463ec-f53a-4d7a-bafe-236ae404ae4e,996.5369244
43030,186L-N,0,0.08,L,SP,186,L,,,M,4,AVON,PRI,2022,576e6a2f-79a1-43ca-af76-f3dd39f62eda,383.8336513
43031,188-N,7.89,8.03,L,CT,188,,,,M,130,SOUTHBURY,SEC,2022,3e13620f-d0b3-4f77-9f6b-c965aef634d5,773.9042485
43032,190-E,0,1.69,L,CT,190,,,,M,139,SUFFIELD,PRI,2022,6f794b24-22db-4b1f-baa4-9a68b67b1535,8973.442211
43033,196-N,0.11,5.38,L,CT,196,,,,M,41,EAST HAMPTON,PRI,2022,98978981-af31-46a2-a155-8768b16f283b,27792.05278
43034,1L-E,0,0.07,L,SP,1,L,,,M,128,SIMSBURY,PRI,2022,a24d0c0c-f943-4772-a9d0-82d79b1cd152,415.5523413
43035,1L-E,0.07,1.52,L,SP,1,L,,,M,11,BLOOMFIELD,PRI,2022,210daff9-6b0b-4377-af4b-b78fdf65d6d4,7502.772681
43036,2-E-32,0,0.29,L,CT,2,,32,,XR,78,MARLBOROUGH,PRI,2022,092156d5-7eef-481b-b5db-905f108bbafb,1535.386483
43037,2-E-34A,0,0.03,L,CT,2,,34,A,ER,78,MARLBOROUGH,PRI,2022,af83ef05-713f-4f0b-be19-3df2ec5b54d2,225.3461756
43038,1-N,83.53,88.64,L,US,1,,,,M,104,OLD LYME,PRI,2022,50e9445d-9f15-4557-bb5b-9628a47ab20b,27053.1828
43039,1-S,34.78,35.19,R,US,1,,,,M,138,STRATFORD,PRI,2022,53d91385-fd45-4649-9431-9613990c42f5,2171.308068
43040,1-S,102.95,103.31,R,US,1,,,,M,58,GROTON,PRI,2022,c60f2155-4515-4ee6-b768-690ce8507dd5,2061.508842
43041,110L-W,0,0.21,L,SP,110,L,,,M,152,WATERFORD,PRI,2022,d30510d1-fedf-4cdc-9552-f0fb8c4dada5,1111.489003
43042,117-N,0,3.71,L,CT,117,,,,M,58,GROTON,PRI,2022,a4845293-4c82-488c-9482-4e5605e40855,19614.90424
